species,query_type,region,season,start_year,end_year,prey_level,taxon,pct_items,pct_wt_or_vol,pct_occurrence,pct_unspecified,database_timestamp
Mourning Dove,Prey,all regions,all seasons,1980,1985,Class,Magnoliopsida [dicots],,100,51.4,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Class,Magnoliopsida [dicots],43.0,66.3,85.6,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Class,Pinopsida [conifers],1.95,8.01,18.5,,"December 18, 2022 00:00:05 UTC"
Wild Turkey,Prey,all regions,all seasons,1947,2011,Class,Other,,25.69,1.11,,"December 18, 2022 00:00:05 UTC"
Dickcissel,Prey,all regions,all seasons,1901,1995,Class,Insecta [insects],67,34.9,19.5,,"December 18, 2022 00:00:05 UTC"
Dickcissel,Prey,all regions,all seasons,1901,1995,Class,Magnoliopsida [dicots],30,31.1,93.7,,"December 18, 2022 00:00:05 UTC"
Dickcissel,Prey,all regions,all seasons,1901,1995,Class,Other,,34.0,,,"December 18, 2022 00:00:05 UTC"
Tufted Titmouse,Prey,all regions,all seasons,1915,1986,Class,Insecta [insects],93.4,26.9,,,"December 18, 2022 00:00:05 UTC"
Tufted Titmouse,Prey,all regions,all seasons,1915,1986,Class,Other,,73.1,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Class,Mammalia [mammals],85.0,,,,"December 18, 2022 00:00:05 UTC"
Black Vulture,Prey,all regions,all seasons,1984,1992,Class,Aves [birds],15.0,,,,"December 18, 2022 00:00:05 UTC"
Osprey,Prey,all regions,all seasons,1971,1988,Class,Teleostei [teleost fishes],99.9,100,,,"December 18, 2022 00:00:05 UTC"
American Robin,Prey,all regions,all seasons,1881,1995,Class,Other,,100,,,"December 18, 2022 00:00:05 UTC"
Peregrine Falcon,Prey,all regions,all seasons,1939,1990,Class,Aves [birds],93.8,99.0,14.2,,"December 18, 2022 00:00:05 UTC"
Peregrine Falcon,Prey,all regions,all seasons,1939,1990,Class,Other,,1.0,,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Class,Magnoliopsida [dicots],,18.6,100,,"December 18, 2022 00:00:05 UTC"
Black-billed Magpie,Prey,all regions,all seasons,1912,1985,Class,Other,,81.4,67,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Teleostei [teleost fishes],53.2,66.8,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Insecta [insects],20.1,2.99,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Malacostraca [malacostracans],16.6,26.0,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Amphibia [amphibians],3.02,2.41,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Polychaeta [polychaete worms],1.61,1.65,,,"December 18, 2022 00:00:05 UTC"
Snowy Egret,Prey,all regions,all seasons,1912,2017,Class,Other,,0.15,,,"December 18, 2022 00:00:05 UTC"
Canada Goose,Prey,all regions,all seasons,1979,2001,Class,Magnoliopsida [dicots],,69.1,,,"December 18, 2022 00:00:05 UTC"
Canada Goose,Prey,all regions,all seasons,1979,2001,Class,Other,,30.9,,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Class,Magnoliopsida [dicots],57.6,19.9,9.18,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Class,Insecta [insects],,14.1,28.3,,"December 18, 2022 00:00:05 UTC"
Northern Mockingbird,Prey,all regions,all seasons,1901,1981,Class,Other,,66.0,,,"December 18, 2022 00:00:05 UTC"
Pygmy Nuthatch,Prey,all regions,all seasons,1907,1907,Class,Insecta [insects],,81,58.1,,"December 18, 2022 00:00:05 UTC"
Pygmy Nuthatch,Prey,all regions,all seasons,1907,1907,Class,Magnoliopsida [dicots],,18,,,"December 18, 2022 00:00:05 UTC"
Pygmy Nuthatch,Prey,all regions,all seasons,1907,1907,Class,Euchelicerata,,1,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Class,Magnoliopsida [dicots],,36.4,,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Class,Insecta [insects],,13.1,22.5,,"December 18, 2022 00:00:05 UTC"
Painted Bunting,Prey,all regions,all seasons,1916,1961,Class,Other,,50.5,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Class,Magnoliopsida [dicots],99.6,16,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Class,Insecta [insects],0.16,4,,,"December 18, 2022 00:00:05 UTC"
Horned Lark,Prey,all regions,all seasons,1905,1972,Class,Other,,80,,,"December 18, 2022 00:00:05 UTC"
Blue Jay,Prey,all regions,all seasons,1915,1993,Species,Archips fumiferana larva,,0.25,,,"December 18, 2022 00:00:05 UTC"
Northern Cardinal,Prey,all regions,all seasons,1908,1961,Species,Magnoliopsida [dicots],,11.5,,,"December 18, 2022 00:00:05 UTC"
